RuffID,MORPH,Aggression,Display,Proximity,Alert Stance
Blue,3Faeder,-0.7679982926,-1.769392801,0.702467771,1.655755073
White,3Faeder,-0.7774093638,-1.769392801,-0.3820971989,1.709478606
RCYD,1RES,1.282687847,1.107429163,1.674789891,-1.088162355
BABD,1RES,0.008455735697,0.5111790425,0.3849104456,-0.5959864444
GARB,1RES,-0.01542765239,0.7219350195,0.7856335833,-0.7067612505
OC,1RES,-0.2352056385,0.3468089428,-0.4021571359,-0.30443435
GBYC,1RES,-0.2054022191,0.5384225465,-0.272251167,-0.5108142593
GYABB,1RES,1.127671954,1.045678179,1.128620735,-1.023826027
GYABD,1RES,0.2812599249,1.107429163,1.183038561,-1.088162355
BYABB,1RES,0.8694010605,1.107429163,-0.9336710852,-1.088162355
YAOC,1RES,1.217750439,0.7904033822,0.84027262,-0.7577866144
BOA,1RES,-0.6949100435,0.646821198,-1.174127089,-0.615113461
RAYB,1RES,0.03101791508,-1.769392801,-1.174127089,1.764731101
GD,1RES,-0.595923563,-1.357748346,-1.174127089,1.263891071
GBYD,1RES,-0.1309063746,-0.04983000859,-0.5573917271,-0.2891747082
RYBOC,1RES,-0.7774093638,-1.449746236,-1.174127089,1.576698737
BABC,1RES,0.1171505594,-0.2418291064,-0.1949933388,0.2938695214
YAYC,1RES,-0.4603827948,0.1258859892,-0.8793085618,-0.1490798046
YAYD,1RES,0.6593441215,0.9659461091,-0.4896459578,-0.9407224376
YAYB,1RES,-0.3068939146,-0.3963719823,-1.053899087,0.4108201353
LGALGD,1RES,3.747222286,0.5480311318,-1.020496275,-0.5052380444
RBYC,2SAT,-0.6575986016,0.5485086843,0.8113493243,-0.5133025702
RCRD,2SAT,-0.7774093638,0.5306263589,1.890027878,-0.4870703766
RARB,2SAT,-0.6124234271,0.2821983983,1.465745803,-0.2281661208
RD,2SAT,-0.7774093638,-1.194028408,-0.06807371403,1.31020963
dBC,2SAT,-0.7774093638,-1.377100727,-0.9227764594,1.501000121
RB,2SAT,-0.7624288898,0.4501041122,1.039749346,-0.5944874619
